Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,はじめて
5.1,3.5,1.4,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
4.9,3,1.4,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
4.7,3.2,1.3,0.2,setosa,kiss
4.6,3.1,1.5,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5,3.6,1.4,0.2,setosa,kiss
5.4,3.9,1.7,0.4,setosa,フルマラソン
4.6,3.4,1.4,0.3,setosa,kiss
5,3.4,1.5,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
4.4,2.9,1.4,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
4.9,3.1,1.5,0.1,setosa,kiss
5.4,3.7,1.5,0.2,setosa,kiss
4.8,3.4,1.6,0.2,setosa,フルマラソン
4.8,3,1.4,0.1,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
4.3,3,1.1,0.1,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.8,4,1.2,0.2,setosa,フルマラソン
5.7,4.4,1.5,0.4,setosa,kiss
5.4,3.9,1.3,0.4,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.1,3.5,1.4,0.3,setosa,フルマラソン
5.7,3.8,1.7,0.3,setosa,フルマラソン
5.1,3.8,1.5,0.3,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.4,3.4,1.7,0.2,setosa,フルマラソン
5.1,3.7,1.5,0.4,setosa,kiss
4.6,3.6,1,0.2,setosa,kiss
5.1,3.3,1.7,0.5,setosa,フルマラソン
4.8,3.4,1.9,0.2,setosa,kiss
5,3,1.6,0.2,setosa,フルマラソン
5,3.4,1.6,0.4,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.2,3.5,1.5,0.2,setosa,フルマラソン
5.2,3.4,1.4,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
4.7,3.2,1.6,0.2,setosa,kiss
4.8,3.1,1.6,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.4,3.4,1.5,0.4,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.2,4.1,1.5,0.1,setosa,kiss
5.5,4.2,1.4,0.2,setosa,フルマラソン
4.9,3.1,1.5,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5,3.2,1.2,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.5,3.5,1.3,0.2,setosa,kiss
4.9,3.6,1.4,0.1,setosa,kiss
4.4,3,1.3,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.1,3.4,1.5,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5,3.5,1.3,0.3,setosa,フルマラソン
4.5,2.3,1.3,0.3,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
4.4,3.2,1.3,0.2,setosa,kiss
5,3.5,1.6,0.6,setosa,フルマラソン
5.1,3.8,1.9,0.4,setosa,フルマラソン
4.8,3,1.4,0.3,setosa,フルマラソン
5.1,3.8,1.6,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
4.6,3.2,1.4,0.2,setosa,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.3,3.7,1.5,0.2,setosa,kiss
5,3.3,1.4,0.2,setosa,フルマラソン
7,3.2,4.7,1.4,versicolor,kiss
6.4,3.2,4.5,1.5,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.9,3.1,4.9,1.5,versicolor,kiss
5.5,2.3,4,1.3,versicolor,フルマラソン
6.5,2.8,4.6,1.5,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.7,2.8,4.5,1.3,versicolor,フルマラソン
6.3,3.3,4.7,1.6,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
4.9,2.4,3.3,1,versicolor,フルマラソン
6.6,2.9,4.6,1.3,versicolor,kiss
5.2,2.7,3.9,1.4,versicolor,kiss
5,2,3.5,1,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.9,3,4.2,1.5,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6,2.2,4,1,versicolor,kiss
6.1,2.9,4.7,1.4,versicolor,フルマラソン
5.6,2.9,3.6,1.3,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.7,3.1,4.4,1.4,versicolor,フルマラソン
5.6,3,4.5,1.5,versicolor,kiss
5.8,2.7,4.1,1,versicolor,kiss
6.2,2.2,4.5,1.5,versicolor,フルマラソン
5.6,2.5,3.9,1.1,versicolor,kiss
5.9,3.2,4.8,1.8,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.1,2.8,4,1.3,versicolor,フルマラソン
6.3,2.5,4.9,1.5,versicolor,フルマラソン
6.1,2.8,4.7,1.2,versicolor,フルマラソン
6.4,2.9,4.3,1.3,versicolor,kiss
6.6,3,4.4,1.4,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.8,2.8,4.8,1.4,versicolor,フルマラソン
6.7,3,5,1.7,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6,2.9,4.5,1.5,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.7,2.6,3.5,1,versicolor,kiss
5.5,2.4,3.8,1.1,versicolor,kiss
5.5,2.4,3.7,1,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.8,2.7,3.9,1.2,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6,2.7,5.1,1.6,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.4,3,4.5,1.5,versicolor,kiss
6,3.4,4.5,1.6,versicolor,フルマラソン
6.7,3.1,4.7,1.5,versicolor,フルマラソン
6.3,2.3,4.4,1.3,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.6,3,4.1,1.3,versicolor,kiss
5.5,2.5,4,1.3,versicolor,フルマラソン
5.5,2.6,4.4,1.2,versicolor,フルマラソン
6.1,3,4.6,1.4,versicolor,kiss
5.8,2.6,4,1.2,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5,2.3,3.3,1,versicolor,フルマラソン
5.6,2.7,4.2,1.3,versicolor,フルマラソン
5.7,3,4.2,1.2,versicolor,kiss
5.7,2.9,4.2,1.3,versicolor,フルマラソン
6.2,2.9,4.3,1.3,versicolor,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.1,2.5,3,1.1,versicolor,kiss
5.7,2.8,4.1,1.3,versicolor,kiss
6.3,3.3,6,2.5,virginica,フルマラソン
